,0
236,1110508.0831712324
237,1179671.8995962879
238,1132424.2894792843
239,1156905.4789288084
240,1151942.9860823844
241,1152860.5849718729
242,1166652.6499894045
243,1205102.906019731
244,1206407.6145050656
245,1238260.3847419901
246,1130105.6152467406
247,1194866.480277785
248,1101737.0077894246
249,1194419.308043135
250,1128562.7067542898
251,1197066.9037337925
252,1194421.0014280218
253,1186838.2868822867
254,1221541.1037367259
255,1192502.22738801
256,1179372.8955073564
257,1189510.3140936168
258,1179248.8850845692
259,1221616.0852654136
260,1172765.8338594516
261,1224130.3930555368
262,1194067.4351500906
263,1151347.5230357128
264,1155050.4198238112
265,1158981.922076653
266,1196768.2786182107
267,1213241.4986315076
268,1210336.885425441
269,1198675.0656026562
270,1213638.7162529316
271,1261815.197878116
272,1158518.0824327953
273,1244268.3206314077
274,1209636.8440698253
275,1169516.444285264
276,1186633.514866799
277,1232010.7587529575
278,1238322.6131680554
279,1311688.7865064542
280,1180503.4921517835
281,1304916.5936934585
282,1217657.031366856
283,1238266.4988093437
284,1203716.5386541248
285,1287316.3775392126
286,1288524.7931268092
287,1284944.4592395392
288,1255293.4501038962
289,1214953.6240466174
290,1290247.9891456794
291,1233983.5072196021
292,1286480.0785503637
293,1245210.6018983806
294,1209272.7039941149
295,1224095.541339807
296,1258283.2091957214
297,1304317.4175534872
298,1254066.2138918643
299,1302477.295520727
300,1259970.4394031954
301,1249678.1545784345
302,1286534.2725476243
303,1254576.960315898
304,1205957.1611605957
305,1304319.2626794493
306,1208367.0225915392
307,1255289.4671593984
308,1251206.7925462825
309,1291720.500704831
310,1273829.4605014003
311,1284578.3449907445
312,1315595.1920450265
313,1266422.17835282
314,1239710.6025564908
315,1316577.9962969124
316,1284187.7556515196
317,1290898.6643383093
318,1311998.9775485569
319,1265558.3381881297
320,1213336.8745217086
321,1339382.623071144
322,1283478.762824088
323,1332862.5361133742
324,1258896.0843455028
325,1376540.8860888164
326,1316494.7661074048
327,1296149.09882714
328,1358189.6651403739
329,1294706.6755517013
330,1317539.6547666471
331,1372147.817460857
332,1345831.6615713816
333,1316273.582005771
334,1303387.8381301428
335,1330963.8518355724
336,1282205.8296578557
337,1355719.100615166
338,1325366.9942850012
339,1297570.484248348
340,1363822.2638095377
341,1307124.8978081518
342,1288385.4077716377
343,1266869.1602449073
344,1281141.6440032935
345,1346494.3049566788
346,1352415.5412863728
347,1361205.7184312332
