0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.91712,35465.07909,34114.57962,32795.64729,31503.21462,30252.7462,29069.96262,28022.58199,27139.33921,26392.35818,25783.89826,25287.08034,24865.03895,24505.04185,24203.56457,23943.76654,23714.52814,23504.06577,23314.68497,23148.23633,22995.35595,22856.88643,22731.78959,22615.88403,22508.93524,22412.7392,22326.28413,22246.95718,22174.12164,22105.8462,22043.39067,21988.21391,21937.94072,21891.57133,21848.32788,21807.42424,21768.59172,21732.74115,21700.14579,21672.04663,21645.76263,21620.32876,21595.64074,21571.31893,21547.38414,21524.77753,21503.33693,21483.27473,21463.64639,21444.32708,21425.884,21408.63015,21391.68741,21375.1886,21359.0297,21343.22084,21327.96921,21313.43081,21299.71038,21286.35576,21273.59711,21261.15336,21248.91843,21237.05841,21225.6671,21214.63443,21203.71703,21193.08979,21182.63684,21172.61006,21162.74282,21152.87558,21143.1087,21133.60838,21124.17722,21114.95901,21105.88394,21096.93616,21088.28483,21079.74051,21071.33586,21063.10299,21055.00826,21047.00175,21039.15579,21031.41071,21023.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.57671,34097.09521,32745.71577,31409.19426,30131.86104,28909.52769,27797.59187,26849.83043,26059.96993,25421.82982,24907.87226,24476.72744,24116.35775,23818.62207,23563.6791,23337.39151,23129.55042,22940.5094,22775.39812,22623.83999,22486.42367,22362.4069,22246.6889,22139.25278,22042.42259,21955.36249,21875.6808,21802.77078,21734.50544,21672.85527,21618.21391,21567.8054,21520.99821,21477.42091,21436.89917,21399.09313,21363.95455,21331.98057,21304.69183,21278.76263,21253.51354,21229.13768,21205.12802,21181.38414,21158.77753,21137.33693,21117.27473,21097.64639,21078.32708,21059.884,21042.63015,21025.68741,21009.1886,20993.0297,20977.22084,20961.96921,20947.43081,20933.71038,20920.35576,20907.85574,20895.72415,20883.80137,20872.05841,20860.6671,20849.63443,20838.71703,20828.08979,20817.63684,20807.61006,20797.74282,20787.87558,20778.1087,20768.60838,20759.17722,20749.95901,20740.88394,20731.93616,20723.28483,20714.74051,20706.33586,20698.10299,20690.00826,20682.00175,20674.15579,20666.41071,20658.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.27499,32729.25358,31377.32181,30042.67866,28781.26066,27618.98061,26603.32308,25769.26091,25086.75253,24552.08433,24105.6881,23739.6837,23442.71943,23188.64165,22964.10881,22757.21497,22569.4509,22404.348,22254.58844,22118.89911,21995.4108,21880.5295,21773.25278,21675.93943,21587.72816,21506.96115,21433.67522,21365.8062,21304.52404,21250.17525,21199.86145,21153.70669,21110.46485,21070.01807,21031.72447,20996.35114,20965.22888,20938.2523,20912.63526,20887.51354,20863.13768,20839.12802,20815.38414,20792.77753,20771.33693,20751.27473,20731.64639,20712.32708,20693.884,20676.63015,20659.68741,20643.1886,20627.0297,20611.22084,20595.97921,20581.75297,20568.3447,20555.30223,20542.85574,20530.72415,20518.80137,20507.05841,20495.6671,20484.63443,20473.71703,20463.08979,20452.63684,20442.61006,20432.74282,20422.87558,20413.1087,20403.60838,20394.17722,20384.95901,20375.88394,20366.93616,20358.28483,20349.74051,20341.33586,20333.10299,20325.00826,20317.00175,20309.15579,20301.41071,20293.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.97327,31361.60018,30009.51742,28697.22359,27479.93552,26402.68349,25510.17699,24781.22877,24212.30403,23755.69199,23378.50772,23074.35703,22817.59195,22592.52474,22387.0529,22200.17474,22036.76827,21887.58844,21752.45687,21629.4108,21514.5295,21407.25278,21309.93943,21221.97388,21141.44165,21067.74933,20999.70306,20938.51801,20884.01399,20833.86145,20787.70669,20744.46485,20704.32992,20666.12795,20630.60479,20599.22888,20572.2523,20546.63526,20521.51354,20497.13768,20473.12802,20449.38414,20426.77753,20405.33693,20385.27473,20365.64639,20346.32708,20327.884,20310.63015,20293.68741,20277.26214,20261.4154,20245.91869,20230.97921,20216.75297,20203.3447,20190.30223,20177.85574,20165.72415,20153.80137,20142.05841,20130.6671,20119.63443,20108.71703,20098.08979,20087.63684,20077.61006,20067.74282,20057.87558,20048.1087,20038.60838,20029.17722,20019.95901,20010.88394,20001.93616,19993.28483,19984.74051,19976.33586,19968.10299,19960.00826,19952.00175,19944.15579,19936.41071,19928.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.85258,31356.67155,29994.31366,28653.59172,27389.80175,26243.65376,25282.99367,24504.69536,23895.78064,23420.39499,23031.77793,22715.09853,22451.51291,22224.55469,22018.61345,21832.99823,21669.76827,21521.20973,21386.45687,21263.4108,21148.5295,21041.25278,20944.56084,20856.97388,20776.44165,20702.74933,20634.70306,20573.51801,20519.01002,20468.38613,20422.39422,20379.46454,20339.32992,20301.12795,20265.60479,20234.08439,20206.64582,20180.63526,20155.51354,20131.13768,20107.12802,20083.38414,20060.77753,20039.33693,20019.27473,19999.64639,19980.32708,19962.02107,19945.07938,19928.44879,19912.26214,19896.4154,19880.91869,19865.97921,19851.75297,19838.3447,19825.30223,19812.85574,19800.72415,19788.80137,19777.05841,19765.6671,19754.63443,19743.71703,19733.08979,19722.63684,19712.61006,19702.74282,19692.87558,19683.1087,19673.60838,19664.17722,19654.95901,19645.88394,19636.93616,19628.28483,19619.74051,19611.33586,19603.10299,19595.00826,19587.00175,19579.15579,19571.41071,19563.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.85258,31356.61439,29989.3762,28630.77055,27330.1558,26132.68519,25098.43757,24256.07899,23606.00868,23103.69916,22697.95322,22365.31343,22091.13852,21859.46604,21651.50047,21465.99823,21303.45309,21155.20973,21020.45687,20897.4108,20782.90229,20676.24988,20579.56084,20491.97388,20411.44165,20337.74933,20269.70306,20208.51801,20154.01002,20103.38613,20057.39422,20014.46454,19974.32992,19936.12795,19900.60479,19869.08439,19841.64582,19815.56678,19789.98308,19765.14522,19741.12802,19717.38414,19694.77753,19673.33693,19653.47534,19634.15915,19615.152,19597.02107,19580.07938,19563.44879,19547.26214,19531.4154,19515.91869,19500.97921,19486.75297,19473.3447,19460.30223,19447.85574,19435.72415,19423.80137,19412.05841,19400.6671,19389.63443,19378.71703,19368.08979,19357.63684,19347.61006,19337.74282,19327.87558,19318.1087,19308.60838,19299.17722,19289.95901,19280.88394,19271.93616,19263.28483,19254.74051,19246.33586,19238.10299,19230.00826,19222.00175,19214.15579,19206.41071,19198.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.85258,31356.61439,29989.3762,28622.96694,27292.70384,26054.23608,24955.84441,24044.93494,23339.54746,22805.0638,22373.4192,22024.88655,21734.88518,21497.59383,21286.05969,21099.74659,20937.45309,20789.20973,20654.58104,20532.15927,20417.90229,20311.24988,20214.56084,20126.97388,20046.44165,19972.74933,19904.70306,19843.51801,19789.01002,19738.38613,19692.39422,19649.46454,19609.32992,19571.12795,19535.60479,19504.08439,19476.64582,19450.56678,19424.98308,19400.14522,19375.67358,19351.64828,19329.35383,19308.22539,19288.47534,19269.15915,19250.152,19232.02107,19215.07938,19198.44879,19182.26214,19166.4154,19150.91869,19135.97921,19121.75297,19108.3447,19095.30223,19082.85574,19070.72415,19058.80137,19047.05841,19035.6671,19024.63443,19013.71703,19003.08979,18992.63684,18982.61006,18972.74282,18962.87558,18953.1087,18943.60838,18934.17722,18924.95901,18915.88394,18906.93616,18898.28483,18889.74051,18881.33586,18873.10299,18865.00826,18857.00175,18849.15579,18841.41071,18833.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.85258,31356.61439,29989.3762,28622.13802,27271.19549,25997.19122,24845.35964,23868.42895,23102.10842,22520.14401,22064.2941,21693.8904,21386.09177,21139.28152,20924.20315,20734.05936,20571.45309,20423.70959,20289.58104,20167.15927,20052.90229,19946.24988,19849.56084,19761.97388,19681.44165,19607.74933,19539.70306,19478.51801,19424.01002,19373.38613,19327.39422,19284.46454,19244.32992,19206.12795,19170.60479,19139.08439,19111.64582,19085.56678,19059.98308,19035.14522,19010.67358,18986.64828,18964.35383,18943.22539,18923.47534,18904.15915,18885.152,18867.02107,18850.07938,18833.44879,18817.26214,18801.4154,18785.91869,18770.97921,18756.75297,18743.3447,18730.30223,18717.85574,18705.72415,18693.80137,18682.05841,18670.6671,18659.63443,18648.71703,18638.08979,18627.63684,18617.61006,18607.74282,18597.87558,18588.1087,18578.60838,18569.17722,18559.95901,18550.88394,18541.93616,18533.28483,18524.74051,18516.33586,18508.10299,18500.00826,18492.00175,18484.15579,18476.41071,18468.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.85258,31356.61439,29989.3762,28622.13802,27262.26311,25957.58038,24760.94355,23722.05111,22888.69906,22253.82301,21766.83028,21371.82562,21047.32041,20785.14262,20563.5065,20371.02033,20206.32864,20058.70959,19924.58104,19802.15927,19687.90229,19581.24988,19484.56084,19396.97388,19316.44165,19242.74933,19174.70306,19113.51801,19059.01002,19008.38613,18962.39422,18919.46454,18879.32992,18841.12795,18805.60479,18774.08439,18746.64582,18720.56678,18694.98308,18670.14522,18645.67358,18621.64828,18599.35383,18578.22539,18558.47534,18539.15915,18520.152,18502.02107,18485.07938,18468.44879,18452.26214,18436.4154,18420.91869,18405.97921,18391.75297,18378.3447,18365.30223,18352.85574,18340.72415,18328.80137,18317.05841,18305.6671,18294.63443,18283.71703,18273.08979,18262.63684,18252.61006,18242.74282,18232.87558,18223.1087,18213.60838,18204.17722,18194.95901,18185.88394,18176.93616,18168.28483,18159.74051,18151.33586,18143.10299,18135.00826,18127.00175,18119.15579,18111.41071,18103.74729
55966.90176,54599.66358,53232.42539,51865.1872,50497.94901,49130.71083,47763.47264,46396.23445,45028.99626,43661.75808,42294.51989,40927.2817,39560.04351,38192.80533,36825.56714,35458.32895,34091.09076,32723.85258,31356.61439,29989.3762,28622.13802,27257.1567,25933.11926,24695.63957,23601.88469,22702.60425,22009.38921,21478.00753,21061.66722,20718.63538,20437.79217,20206.48816,20010.1268,19841.68193,19693.70959,19559.58104,19437.15927,19322.90229,19216.24988,19119.56084,19031.97388,18951.44165,18877.74933,18809.70306,18748.51801,18694.01002,18643.38613,18597.39422,18554.46454,18514.32992,18476.12795,18440.60479,18409.08439,18381.64582,18355.56678,18329.98308,18305.14522,18280.67358,18256.64828,18234.35383,18213.22539,18193.47534,18174.15915,18155.152,18137.02107,18120.07938,18103.44879,18087.26214,18071.4154,18055.91869,18040.97921,18026.75297,18013.3447,18000.30223,17987.85574,17975.72415,17963.80137,17952.05841,17940.6671,17929.63443,17918.71703,17908.08979,17897.63684,17887.61006,17877.74282,17867.87558,17858.1087,17848.60838,17839.17722,17829.95901,17820.88394,17811.93616,17803.28483,17794.74051,17786.33586,17778.10299,17770.00826,17762.00175,17754.15579,17746.41071,17738.74729
